 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,27785429,285429,298883,314520,325882,9331779,792211,286981,275998,271814,273203,273726,271814,277567,277567,280705,280525,290462,314177,429760,302671,376937,284186,284186,780705,11770245,778613,262400,262220,262076,13762220
1,27785429,0,27796449,310407,326600,338386,844519,11803451,798021,286618,282274,283703,284246,282274,288247,288247,291505,291305,301622,326257,446260,314311,391417,295106,295106,291505,780645,11789333,772500,272300,272140,272300
2,285429,27796449,0,27810407,326600,338386,344519,803451,11798021,786618,282274,283703,284246,282274,288247,288247,291505,291305,301622,326257,446260,314311,391417,295106,295106,291505,280645,789333,11772500,772300,272140,272300
3,298883,310407,27810407,0,14342120,354494,360897,317833,812143,11800194,795642,297169,297738,295642,301901,301901,305315,305135,315946,341731,467480,329213,410011,309118,309118,305315,293935,303039,785400,9285220,285076,285220
4,314520,326600,326600,14342120,0,14373520,380200,334700,328700,816100,11811300,813000,313600,311300,317900,317900,321500,321400,332800,359900,492500,346700,431900,325600,325600,321500,309500,319100,300500,300400,300320,300400
5,325882,338386,338386,354494,14373520,0,394046,346854,340634,327572,822596,9324382,325004,322596,329438,329438,333170,333090,344908,372978,510440,359294,447618,337444,337444,333170,320730,330682,311400,311320,311256,311320
6,9331779,844519,344519,360897,380200,394046,0,16853081,346751,333458,328394,330193,9330826,828394,335357,335357,339155,339055,351082,379667,519560,365741,455627,343486,343486,339155,326495,336623,317000,316900,316820,316900
7,792211,11803451,803451,317833,334700,346854,16853081,0,16805304,293607,289151,290697,791254,11789151,795278,295278,298620,298495,309078,334268,457365,322014,401108,302394,302394,298620,287480,296392,279125,279000,278900,279000
8,286981,798021,11798021,812143,328700,340634,346751,16805304,0,16788347,283971,285487,286034,783971,11789988,789988,293270,293145,303538,328278,449165,316244,393918,296974,296974,293270,282330,291082,274125,274000,273900,274000
9,275998,286618,786618,11800194,816100,327572,333458,293607,16788347,0,16773093,274546,275072,273093,778879,11778879,782035,281910,291904,315699,431945,304127,378819,285592,285592,282035,271515,279931,263625,263500,263400,263500
10,271814,282274,282274,795642,11811300,822596,328394,289151,283971,16773093,0,16770378,270896,268949,274647,774647,11777755,777630,287472,310907,425385,299511,373067,281256,281256,277755,267395,275683,259625,259500,259400,259500
11,273203,283703,283703,297169,813000,9324382,330193,290697,285487,274546,16770378,0,272362,270378,276109,276109,779235,9279135,289034,312579,427720,301117,375099,282782,282782,279235,268815,277151,261000,260900,260820,260900
12,273726,284246,284246,297738,313600,325004,9330826,791254,286034,275072,270896,272362,0,16770896,276638,276638,279770,279670,9289588,813178,428540,301694,375818,283324,283324,279770,269330,277682,261500,261400,261320,261400
13,271814,282274,282274,295642,311300,322596,828394,11789151,783971,273093,268949,270378,16770896,0,16774647,274647,277755,277630,787472,11810907,925385,299511,373067,281256,281256,277755,267395,275683,259625,259500,259400,259500
14,277567,288247,288247,301901,317900,329438,335357,795278,11789988,778879,274647,276109,276638,16774647,0,16780466,283640,283515,293566,817496,11934405,805858,380976,287218,287218,283640,273060,281524,265125,265000,264900,265000
