 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0,21533148,3022370,3052719,2982101,2964924,3016957,2987005,3012733,3044490,2992305,2989617,2997568,2992488,2982641,3002594,3008454,2964459,2997395,2966685,3039120,3039398,3012132,2990113,2982891,3043599,2990670,3026965,2997272,3017148,3019884,3040642,3029659,3002174,3003703,3018609,3003885,3033836,2994999,3053138,3012566,3007768,3046549,3022700,2980261,2956435,3033857,3024097,2991648,3048534,3019424,2988486,3024746,2991546,2971106,2994409,2996444,2973932,2956486,2979850,3038325,3033386,3022705,3001517,3039928,2968211,2965439,3022970,3052725,3011709,3024753,3021347
1,21533148,0,6237169,3099793,3028251,3010810,3071536,3033243,3059234,3099466,3046533,3051879,3043936,3033932,3028791,3048921,3055001,3010345,3029207,3010929,3086018,3086252,3058635,3036395,3029041,3098575,3036909,3080122,3045240,3063782,3066519,3084343,3076425,3048588,3058108,3052194,3042220,3080647,3041325,3084012,3059156,3054269,3101525,3069378,3026278,3002233,3088656,3070820,3037929,3090682,3066057,3034723,3063346,3037784,3025114,3040736,3042770,3006946,3002283,3025955,3085223,3063996,3069338,3047887,3078746,3022131,3011325,3069648,3099797,3058255,3066549,3065978
2,3022370,6237169,0,13325854,3030578,3014711,3065914,3035578,3061593,3101869,3048868,3038240,3046283,3036267,3031118,3043274,3057363,3012648,3031538,3005238,3096403,3088643,3060994,3038733,3031368,3092988,3039243,3076113,3045988,3066153,3092859,3086738,3078808,3050939,3052468,3057737,3047759,3084631,3043668,3086403,3061523,3056630,3095938,3071753,3028593,3006126,3083053,3073198,3040269,3091483,3068428,3037058,3065713,3040120,3019438,3051068,3046711,3014035,3004578,3028278,3095608,3066364,3071708,3050233,3081133,3018046,3021618,3072023,3102208,3060618,3068916,3074741
3,3052719,3099793,13325854,0,22107024,3052833,3096621,3073988,3092231,3124910,3071301,3070292,3086399,3092255,3067860,3083354,3088035,3042781,3061923,3035335,3122570,3119569,3091630,3069189,3061719,3124021,3069665,3106965,3076516,3096897,3099635,3128886,3116052,3083103,3091022,3088267,3078251,3120314,3074161,3117328,3092232,3087267,3126970,3102537,3063628,3044176,3113941,3104015,3078715,3122481,3099173,3075468,3096422,3070538,3049678,3073571,3075606,3045693,3042629,3058591,3118578,3097072,3102455,3087153,3113621,3060998,3059740,3102803,3139707,3091291,3106016,3099094
4,2982101,3028251,3030578,22107024,0,25659198,3025164,2995213,3020941,3052697,3000513,2997826,3005774,2999098,2994047,3002813,3016662,2972667,2991221,2965305,3060113,3047606,3020341,2998321,2991100,3051807,2998878,3035173,3005479,3025356,3028091,3050447,3042661,3010381,3016705,3020425,3004102,3042044,3003208,3045366,3020774,3015976,3062747,3030908,2988468,2964643,3046858,3040295,2999855,3050350,3027631,2996693,3024964,3015733,2987304,3010607,3004654,2967758,2964693,2988057,3046533,3025614,3030912,3009724,3040145,2981213,2973648,3031178,3078509,3032701,3026569,3027555
5,2964924,3010810,3014711,3052833,25659198,0,20506141,2977988,3003571,3035065,2983288,2980577,2988477,2977079,2973672,2985539,2999270,2955634,2974023,2948296,3036136,3030046,3010962,2981073,2973922,3034174,2981653,3017660,2996174,3030287,3010650,3028069,3023550,2993060,2997788,3001529,2986829,3024508,2985937,3027807,3016141,3001803,3037125,3013444,2971363,2947660,3027723,3014816,2990597,3032741,3016582,2987458,3015537,2987322,2965404,2985344,2987379,2953969,2952502,2970904,3028949,3008197,3013471,2992428,3022607,2968952,2956615,3013713,3059233,3005720,3009152,3010111
6,3016957,3071536,3065914,3096621,3025164,20506141,0,6425830,3056118,3094705,3037046,3032801,3048819,3029239,3025704,3045817,3051879,3007282,3026116,3007871,3084464,3083101,3055517,3049275,3041935,3095413,3033816,3070587,3048525,3062250,3063386,3081191,3073285,3053467,3054999,3049087,3039117,3077499,3038222,3080864,3056030,3051151,3090373,3066244,3023206,2999178,3085510,3067680,3034830,3098709,3074113,3033226,3068211,3034691,3014048,3037634,3055647,3002293,2999229,3022873,3082068,3062467,3072599,3044779,3083589,3012672,3008262,3066513,3104616,3055132,3063422,3069240
7,2987005,3033243,3035578,3073988,2995213,2977988,6425830,0,13249445,3057753,3005433,3010743,3010719,2999223,2995753,3015738,3021638,2977523,2996133,2970153,3053966,3068618,3033298,3003249,2996003,3064854,3003798,3040188,3010423,3031947,3033083,3050693,3044481,3023323,3016863,3017378,3009038,3047068,3008143,3050398,3025758,3020943,3059814,3035908,2993348,2969483,3047088,3037313,3004783,3055399,3034222,3001613,3037938,3004673,2984195,3007553,3009589,2972598,2969533,2992953,3051573,3030598,3043893,3022658,3046766,2981283,2978503,3036178,3066004,3024893,3031553,3040534
8,3012733,3059234,3061593,3092231,3020941,3003571,3056118,13249445,0,23783692,3031209,3028553,3036565,3024998,3021480,3041562,3047581,3007901,3025080,2995712,3086494,3085142,3051227,3037037,3021731,3091040,3029573,3066251,3044261,3062732,3059074,3084819,3075339,3053990,3042735,3043227,3042852,3073155,3038760,3076511,3051727,3046863,3085998,3063521,3025396,2995018,3073175,3063352,3030582,3086351,3072997,3035379,3063906,3030449,3014643,3033376,3035412,2998135,2995068,3018657,3082502,3056566,3061896,3040518,3077647,3006890,3004086,3062193,3098627,3060426,3057520,3066525
9,3044490,3099466,3101869,3124910,3052697,3035065,3094705,3057753,23783692,0,19939104,3068434,3068542,3056843,3053237,3065504,3087726,3034599,3060078,3028759,3111010,3111211,3089730,3060936,3053487,3115639,3074202,3098624,3068247,3088580,3091316,3109333,3101319,3076423,3074758,3075203,3066794,3105572,3077086,3108970,3088716,3082168,3126580,3094210,3050628,3026423,3105593,3103671,3065669,3122096,3090855,3067223,3104095,3062294,3044669,3071701,3068944,3035931,3026474,3050369,3121400,3088763,3094137,3072493,3103673,3038428,3035580,3094478,3124916,3090981,3089718,3095570
10,2992305,3046533,3048868,3071301,3000513,2983288,3037046,3005433,3031209,19939104,0,8440826,3022410,3004524,3001054,3013051,3026938,2982825,3001433,2975454,3065658,3061135,3037000,3008549,3001306,3070153,3012294,3045488,3015723,3043638,3038383,3055993,3054577,3030221,3022165,3022680,3014338,3052372,3023033,3062091,3031059,3042225,3065114,3041210,3003443,2977979,3060379,3042614,3013282,3065492,3037923,3006913,3035248,3025953,2989493,3030431,3014890,2977898,2974834,3019028,3068060,3043889,3041203,3019970,3058462,2986586,2983804,3049469,3071303,3030196,3036854,3037844
11,2989617,3051879,3038240,3070292,2997826,2980577,3032801,3010743,3028553,3068434,8440826,0,13228565,3001844,3006355,3010376,3024287,2980111,2998749,2982326,3055048,3055314,3035943,3020255,3000215,3059553,3006418,3042857,3013056,3034602,3042132,3053373,3045552,3017969,3019501,3028001,3011666,3057730,3010771,3061065,3028410,3025185,3062502,3038568,2995948,2972063,3057752,3039977,3009007,3058082,3043269,3012223,3032601,3007293,2986793,3010181,3015412,2987963,2972113,2995562,3054254,3033250,3046550,3025292,3047840,2983876,2981091,3038838,3076689,3027541,3034207,3035200
12,2997568,3043936,3046283,3086399,3005774,2988477,3048819,3010719,3036565,3068542,3022410,13228565,0,21853514,3009510,3018357,3032308,2988012,3006706,2987022,3072721,3069783,3035965,3013845,3014554,3067652,3025569,3050918,3021044,3041041,3043776,3061458,3053612,3029162,3027496,3028001,3019648,3057809,3026742,3064348,3041233,3037992,3070603,3046613,3003873,2979948,3057829,3048030,3021773,3069372,3043318,3012199,3040629,3015258,2994718,3018162,3020198,2991053,2979998,3003503,3062338,3049269,3046596,3025291,3055909,2991784,2988992,3046883,3076817,3035562,3042234,3051227
13,2992488,3033932,3036267,3092255,2999098,2977079,3029239,2999223,3024998,3056843,3004524,3001844,21853514,0,24801766,3006838,3020729,2976613,2995223,2969243,3059448,3051728,3024400,3002338,3007877,3055953,3007682,3045670,3011111,3039026,3038565,3049785,3041973,3019217,3015953,3016471,3008128,3046159,3007233,3049489,3032838,3020036,3066893,3034998,2992438,2968574,3046178,3036404,3011864,3059283,3031714,3000704,3037028,3003766,2988077,3006643,3008678,2971690,2968623,2992043,3050663,3029688,3042983,3013758,3044259,2980374,2977594,3035268,3065093,3023983,3032244,3038027
14,2982641,3028791,3031118,3067860,2994047,2973672,3025704,2995753,3021480,3053237,3001054,3006355,3009510,24801766,0,20283468,3017202,2979599,2999751,2965845,3047868,3048147,3025676,3002056,3002827,3060337,2999419,3035712,3014009,3025896,3028631,3046193,3038407,3010923,3020441,3012974,3004642,3042584,3003747,3045907,3021314,3022907,3055297,3031449,2989009,2965183,3042604,3032845,3000395,3050892,3028171,2997233,3025504,3000293,2983051,3003157,3005193,2976288,2965233,2988597,3055063,3032546,3031451,3010264,3047076,2976959,2974187,3031720,3061471,3020458,3027109,3028093
15,3002594,3048921,3043274,3083354,3002813,2985539,3045817,3015738,3041562,3065504,3013051,3010376,3018357,3006838,20283468,0,6284477,2986672,3003740,2977697,3060103,3060365,3032971,3018862,3003603,3064615,3011413,3047899,3018064,3046025,3040771,3058428,3050596,3022980,3032501,3029812,3019865,3054787,3015775,3058126,3033437,3038195,3067566,3043604,3008914,2977018,3054807,3053006,3012406,3063141,3040310,3009228,3037628,3012288,3007749,3023176,3025210,2980133,2977068,3000545,3067298,3039875,3043590,3022309,3054486,2988842,2986055,3043873,3088152,3034163,3039233,3040232
16,3008454,3055001,3057363,3088035,3016662,2999270,3051879,3021638,3047581,3087726,3026938,3024287,3032308,3020729,3017202,6284477,0,13214752,3017611,2991408,3082283,3082526,3054972,3024782,3025442,3080443,3031696,3076411,3033610,3052106,3056438,3077413,3067923,3036951,3038481,3038967,3030600,3068937,3037696,3072298,3049088,3049008,3091383,3073674,3022703,2998699,3076947,3068715,3034308,3077352,3054380,3023118,3051680,3027777,3013548,3029115,3031150,2993824,2990758,3022366,3089479,3055523,3064054,3036258,3067038,3002593,2999784,3057964,3088040,3046595,3061272,3054302
