 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,9921601,8763977,9642949,8685178,8675267,8517947,8644080,8557725,8586998,8665963,8529621,8616051,8615565,8541341,8394349,8471185,8674811,8529001,8519602,8491148,8939803,8451424,8470279,8508710,8473657,8509515,8589673,8608210,8832160,9067427,8510609
1,9921601,0,4050253,3366087,3036692,3033193,2978465,3021242,2992595,3002632,3030301,2983727,3012449,3011963,2989035,2938223,2963763,3032737,2983107,2980120,2970902,3124605,2956826,2962857,2975640,2966235,2976445,3005307,3011020,3087494,3168873,2977539
2,8763977,4050253,0,4170487,3143208,3139585,3082873,3127262,3097499,3107908,3136569,3088259,3118097,3117611,3093691,3041019,3067551,3139129,3087639,3084528,3074938,3234345,3060366,3066645,3079924,3070023,3080729,3110583,3116544,3195870,3280225,3081823
3,9642949,3366087,4170487,0,4435254,3449397,3386925,3435994,3402991,3414480,3446021,3392671,3425749,3425263,3398463,3340391,3369803,3448941,3392051,3388580,3377910,3553877,3361898,3368897,3383616,3372275,3384421,3417155,3423836,3511442,3604437,3385515
4,8685178,3036692,3143208,4435254,0,3778710,3055178,3099151,3069676,3079989,3108394,3060532,3090082,3089596,3065932,3013740,3040016,3110922,3059912,3056833,3047339,3205274,3032895,3039110,3052261,3042488,3053066,3082664,3088561,3167151,3250738,3054160
5,8675267,3033193,3139585,3449397,3778710,0,3812617,3095576,3066137,3076438,3104811,3057005,3086519,3086033,3062401,3010269,3036513,3107335,3056385,3053310,3043828,3201579,3029400,3035607,3048742,3038985,3049547,3079113,3085002,3163500,3246991,3050641
6,8517947,2978465,3082873,3386925,3055178,3812617,0,3954977,3010769,3020878,3048739,3001829,3030767,3030281,3007161,2955989,2981721,3051199,3001209,2998198,2988908,3143715,2974736,2980815,2993694,2984193,2994499,3023553,3029314,3106340,3188295,2995593
7,8644080,3021242,3127262,3435994,3099151,3095576,3954977,0,4034616,3064331,3092608,3044970,3074376,3073890,3050354,2998402,3024550,3095120,3044350,3041287,3031841,3189040,3017461,3023644,3036731,3027022,3037536,3067006,3072871,3151093,3234296,3038630
8,8557725,2992595,3097499,3402991,3069676,3066137,3010769,4034616,0,4238501,3063205,3016071,3045153,3044667,3021419,2970007,2995867,3065681,3015451,3012424,3003086,3158629,2988850,2994961,3007904,2998339,3008709,3037891,3043684,3121078,3203417,3009803
9,8586998,3002632,3107908,3414480,3079989,3076438,3020878,3064331,4238501,0,3767369,3026192,3055382,3054896,3031552,2979960,3005916,3075982,3025572,3022533,3013159,3169254,2998875,3005010,3018001,3008388,3018806,3048084,3053901,3131571,3214198,3019900
10,8665963,3030301,3136569,3446021,3108394,3104811,3048739,3092608,3063205,3767369,0,4274408,3083563,3083077,3059477,3007405,3033617,3104355,3053465,3050394,3040924,3198491,3026512,3032711,3045830,3036089,3046635,3076169,3082050,3160456,3243851,3047729
11,8529621,2983727,3088259,3392671,3060532,3057005,3001829,3044970,3016071,3026192,4274408,0,3845621,3035607,3012455,2961223,2986987,3056549,3006499,3003484,2994182,3149173,2979994,2986081,2998976,2989459,2999781,3028867,3034636,3111754,3193805,3000875
12,8616051,3012449,3118097,3425749,3090082,3086519,3030767,3074376,3045153,3055382,3083563,3845621,0,4034172,3041465,2989693,3015745,3086063,3035473,3032422,3023012,3179659,3008680,3014839,3027878,3018217,3028683,3058057,3063898,3141844,3224759,3029777
13,8615565,3011963,3117611,3425263,3089596,3086033,3030281,3073890,3044667,3054896,3083077,3035607,4034172,0,3811827,2989207,3015259,3085577,3034987,3031936,3022526,3179173,3008194,3014353,3027392,3017731,3028197,3057571,3063412,3141358,3224273,3029291
14,8541341,2989035,3093691,3398463,3065932,3062401,3007161,3050354,3021419,3031552,3059477,3012455,3041465,3811827,0,4300656,2992299,3061945,3011835,3008816,2999502,3154677,2985298,2991393,3004304,2994771,3005109,3034227,3040004,3117214,3199361,3006203
15,8394349,2938223,3041019,3340391,3013740,3010269,2955989,2998402,2970007,2979960,3007405,2961223,2989693,2989207,4300656,0,4097877,3009813,2960603,2957644,2948510,3100925,2934546,2940521,2953192,2943899,2953997,2982635,2988292,3064122,3144829,2955091
16,8471185,2963763,3067551,3369803,3040016,3036513,2981721,3024550,2995867,3005916,3033617,2986987,3015745,3015259,2992299,4097877,0,4255461,2986367,2983376,2974146,3128033,2960054,2966093,2978892,2969471,2979697,3008591,3014312,3090878,3172353,2980791
17,8674811,3032737,3139129,3448941,3110922,3107335,3051199,3095120,3065681,3075982,3104355,3056549,3086063,3085577,3061945,3009813,4255461,0,3995996,3052854,3043372,3201123,3028944,3035151,3048286,3038529,3049091,3078657,3084546,3163044,3246535,3050185
18,8529001,2983107,3087639,3392051,3059912,3056385,3001209,3044350,3015451,3025572,3053465,3006499,3035473,3034987,3011835,2960603,2986367,3995996,0,4087188,2993562,3148553,2979374,2985461,2998356,2988839,2999161,3028247,3034016,3111134,3193185,3000255
19,8519602,2980120,3084528,3388580,3056833,3053310,2998198,3041287,3012424,3022533,3050394,3003484,3032422,3031936,3008816,2957644,2983376,3052854,4087188,0,4282262,3145370,2976391,2982470,2995349,2985848,2996154,3025208,3030969,3107995,3189950,2997248
20,8491148,2970902,3074938,3377910,3047339,3043828,2988908,3031841,3003086,3013159,3040924,2994182,3023012,3022526,2999502,2948510,2974146,3043372,2993562,4282262,0,4238707,2967185,2973240,2986071,2976618,2986876,3015834,3021571,3098321,3179988,2987970
21,8939803,3124605,3234345,3553877,3205274,3201579,3143715,3189040,3158629,3169254,3198491,3149173,3179659,3179173,3154677,3100925,3128033,3201123,3148553,3145370,4238707,0,4400484,3127127,3140694,3130505,3141499,3171929,3178034,3259016,3345099,3142593
22,8451424,2956826,3060366,3361898,3032895,3029400,2974736,3017461,2988850,2998875,3026512,2979994,3008680,3008194,2985298,2934546,2960054,3028944,2979374,2976391,2967185,4400484,0,4235704,2971915,2962526,2972720,3001550,3007255,3083637,3164920,2973814
23,8470279,2962857,3066645,3368897,3039110,3035607,2980815,3023644,2994961,3005010,3032711,2986081,3014839,3014353,2991393,2940521,2966093,3035151,2985461,2982470,2973240,3127127,4235704,0,3736468,2968565,2978791,3007685,3013406,3089972,3171447,2979885
