 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0,5524699,2974629,3005647,2934913,2915995,2967744,2939802,2964479,2998191,2942347,2942329,2950668,2945092,2935042,2951138,2962597,2916304,2946262,2914078,2991474,2990913,2963172,2943773,2933947,2996898,2942812,2980560,2949965,2970340,2972752,2994411,2982106,2954378,2954801,2962836,2951839,2984888,2946934,2997529,2967230,2961463,2998259,2974281,2929817,2908507,2984640,2977006,2944855,3000084,2972283,2940748,2972500,2943224,2923878,2946321,2947606,2915180,2908821,2932352,2990661,2976525,2973997,2953190,2988675,2918114,2916048,2975741,3005521,2963383,2970801,2974491
1,5524699,0,3910977,3044185,2972527,2953345,3008994,2977504,3002445,3039837,2984843,2989663,2988501,2977999,2972656,2987330,3000608,2953654,2974332,2951384,3029836,3029231,3001139,2981519,2971561,3038544,2980515,3020387,2989397,3008438,3010851,3029577,3020336,2992255,2995876,2992680,2986433,3023162,2984724,3027857,3005284,2999428,3041503,3012423,2967298,2945769,3027707,3015192,2982601,3033696,3010380,2978450,3005760,2980926,2966155,2984111,2985396,2949246,2946083,2969921,3029023,3006589,3012094,2991024,3022154,2960302,2953398,3013883,3044059,3001393,3008855,3012589
2,2974629,3910977,0,8160784,2976411,2958803,3009722,2981396,3006361,3045395,2987137,2983971,2992405,2983489,2976540,2988035,3004527,2957514,2978220,2950446,3038582,3033179,3005055,2985415,2975445,3039308,2984406,3022729,2991703,3012366,3025964,3033529,3024276,2996163,2996587,2996584,2993529,3028704,2988624,3031805,3009208,3003345,3040669,3016355,2971170,2949621,3026857,3019128,2986498,3037652,3014308,2982342,3009684,2984818,2965232,2991207,2990894,2954696,2949935,2973801,3037769,3010513,3016022,2994928,3026098,2959372,2960454,3017815,3048027,3005313,3011181,3019713
3,3005647,3044185,8160784,0,10107656,2994398,3041099,3017279,3037667,3072301,3015031,3016694,3026798,3027363,3009157,3025587,3035868,2988315,3009273,2981211,3068614,3064773,3036360,3016540,3006464,3071009,3015496,3054250,3022900,3043779,3046193,3068355,3060591,3027398,3032614,3032576,3021494,3061860,3019786,3063398,3040585,3034651,3072370,3047805,3006874,2983546,3058414,3050613,3022417,3069317,3045721,3018225,3041061,3015907,2996141,3019172,3020458,2987023,2985458,3004782,3064604,3041891,3047435,3030919,3057655,2998199,2996049,3049264,3082998,3036654,3045754,3047930
4,2934913,2972527,2976411,10107656,0,5916717,2969526,2941584,2966261,2999972,2944129,2944112,2952449,2942079,2940021,2948126,2964379,2918086,2938456,2911066,2999648,2992695,2964955,2945556,2935729,2998680,2944594,2982341,2951747,2972122,2974534,2996193,2988682,2956159,2956583,2961422,2950425,2986670,2948717,2991321,2969012,2963245,3004835,2976063,2931598,2910289,2991215,2981984,2946637,2997072,2974064,2942530,2969488,2952996,2930454,2952897,2949389,2912168,2910603,2934133,2992443,2970317,2975779,2954972,2985663,2924690,2917831,2977523,3016891,2969959,2970985,2976274
5,2915995,2953345,2958803,2994398,5916717,0,5504577,2922618,2947151,2980598,2925163,2925121,2933411,2923114,2917906,2929112,2945245,2899312,2919515,2892316,2975529,2973393,2949040,2926566,2916811,2979306,2925628,2963088,2937504,2965724,2955352,2973671,2964634,2937097,2940717,2942384,2931411,2967393,2929704,2972020,2953050,2947330,2980668,2956858,2912752,2891563,2967143,2959558,2932441,2977722,2959676,2928358,2953526,2926040,2910010,2929089,2930374,2896638,2893475,2915239,2973118,2951159,2956596,2935934,2966384,2902696,2899057,2958317,2995872,2949227,2951827,2957091
6,2967744,3008994,3009722,3041099,2969526,5504577,0,3759385,2999414,3035161,2978638,2977063,2990274,2974991,2969655,2985911,2997570,2950677,2971327,2946813,3028367,3026166,2998105,2988094,2978148,3037065,2977505,3015732,2989572,3005393,3007805,3026509,3017280,2992427,2992851,2989659,2983416,3020101,2981707,3024793,3002244,2996396,3033632,3009374,2964312,2942800,3023048,3012139,2979588,3040211,3012129,2975441,3007514,2977919,2958371,2981096,2991967,2944679,2943115,2966925,3025954,3003548,3012245,2988003,3023887,2954125,2950421,3010834,3044170,2998356,3005814,3012741
7,2939802,2977504,2981396,3017279,2941584,2922618,3759385,0,8084014,3005013,2949034,2953818,2957378,2946984,2941713,2956243,2969340,2922927,2943353,2915899,2999879,3005702,2973103,2950468,2940618,3006917,2949499,2987342,2956676,2977100,2979511,2998022,2988889,2965890,2961520,2961557,2955346,2991679,2953637,2996338,2973981,2968197,3005082,2981048,2936463,2915114,2991430,2983781,2951550,3002106,2980640,2947435,2977653,2949911,2930526,2953024,2954309,2916993,2915428,2939014,2997468,2975286,2985549,2964695,2992269,2924745,2922671,2982508,3012360,2970126,2975954,2984446
8,2964479,3002445,3006361,3037667,2966261,2947151,2999414,8084014,0,4917576,2973759,2973773,2982175,2971709,2966390,2981016,2994233,2952254,2968054,2940408,3026563,3025969,2994776,2980011,2965296,3032052,2974224,3012355,2986268,3005236,3004452,3027901,3017098,2990713,2986341,2986355,2983315,3016716,2978410,3021400,2998899,2993066,3030216,3007611,2964264,2939599,3016467,3008770,2976299,3032008,3010374,2975356,3004168,2974637,2959924,2977797,2979082,2941480,2939913,2963668,3027347,3000203,3005697,2984700,3018904,2949302,2947204,3007473,3039140,2999813,3000871,3010985
9,2998191,3039837,3045395,3072301,2999972,2980598,3035161,3005013,4917576,0,5562038,3012410,3016106,3005508,3000101,3011707,3033135,2980907,3006604,2973811,3057826,3057189,3033635,3009060,2999006,3063401,3017611,3046682,3015404,3036235,3038647,3057566,3048229,3023089,3020318,3020286,3014006,3051087,3020288,3055814,3037843,3027130,3069557,3040253,2994647,2972958,3050838,3047847,3010143,3064913,3038177,3010753,3039919,3008435,2988709,3013282,3014567,2978034,2973273,2997334,3061807,3034355,3039891,3018629,3050080,2982793,2980651,3041712,3072176,3032322,3035022,3045180
10,2942347,2984843,2987137,3015031,2944129,2925163,2978638,2949034,2973759,5562038,0,4348602,2963119,2949530,2944258,2955594,2971885,2925474,2945898,2918445,3005620,3003454,2974050,2953013,2943164,3011060,2952044,2989887,2959221,2984438,2982056,3000567,2993033,2970033,2964065,2964103,2957891,2994226,2959379,3002079,2976526,2978732,3007628,2983594,2943803,2917659,2998770,2986326,2957291,3006248,2981586,2949980,2977002,2960446,2933070,2965157,2956856,2919538,2917974,2951147,3006406,2982625,2983300,2962447,2998011,2927291,2925217,2989847,3014905,2972672,2978499,2983795
11,2942329,2989663,2983971,3016694,2944112,2925121,2977063,2953818,2973773,3012410,4348602,0,8067475,2949519,2949034,2955590,2971903,2925430,2945884,2923192,3000876,3000303,2977260,2962596,2943147,3006325,2952034,2989925,2959223,2981268,2985279,3000617,2991472,2963647,2964072,2967301,2957889,2997462,2956180,3003724,2976548,2972354,3007685,2983623,2938978,2917609,2997214,2986360,2955687,3004704,2984808,2954764,2977024,2952446,2933040,2955567,2956852,2925881,2917923,2941537,3000063,2977853,2986523,2965645,2993258,2927252,2925174,2985083,3019765,2972689,2978522,2983821
12,2950668,2988501,2992405,3026798,2952449,2933411,2990274,2957378,2982175,3016106,2963119,8067475,0,9964225,2952578,2963960,2980313,2933720,2954230,2929876,3014144,3011965,2980868,2961369,2954679,3014814,2966780,2998375,2967601,2988096,2990508,3009091,2999922,2975229,2972457,2972483,2966260,3002724,2967746,3007396,2988162,2982354,3016176,2992057,2947292,2925883,3002475,2994802,2965647,3016382,2990038,2958324,2985442,2960800,2941354,2963937,2965222,2932556,2926197,2949868,3008537,2991065,2991752,2970826,3001716,2935550,2933464,2993517,3023478,2981099,2986939,2997041
13,2945092,2977999,2983489,3027363,2942079,2923114,2974991,2946984,2971709,3005508,2949530,2949519,9964225,0,5334023,2953542,2969835,2923422,2943848,2916394,3003570,2998207,2970402,2950963,2950701,3004216,2951592,2992631,2957171,2982388,2983202,2998519,2989384,2963189,2962015,2962054,2955841,2992175,2954132,2996833,2977672,2968693,3008773,2981543,2936958,2915609,2991925,2984277,2956839,3004199,2979536,2947930,2979746,2950408,2935814,2953519,2954804,2917488,2915923,2939509,2997963,2975781,2984446,2960396,2991166,2925240,2923166,2983003,3012855,2970621,2978048,2984942
